"Date","Stream flow","Tested","Stages"
"1946-07-31",11,"A","Not a Flood Stage"
"1946-08-01",6.3,"A","Not a Flood Stage"
"1946-08-02",4.8,"A","Not a Flood Stage"
"1946-08-03",4,"A","Not a Flood Stage"
"1946-08-04",3.3,"A","Not a Flood Stage"
"1946-08-05",2.9,"A","Not a Flood Stage"
"1946-08-06",3.8,"A","Not a Flood Stage"
"1946-08-07",4.2,"A","Not a Flood Stage"
"1946-08-08",3.5,"A","Not a Flood Stage"
"1946-08-09",3.1,"A","Not a Flood Stage"
"1946-08-10",2.7,"A","Not a Flood Stage"
"1946-08-11",2.4,"A","Not a Flood Stage"
"1946-08-12",2.2,"A","Not a Flood Stage"
"1946-08-13",2.4,"A","Not a Flood Stage"
"1946-08-14",2.6,"A","Not a Flood Stage"
"1946-08-15",2.4,"A","Not a Flood Stage"
"1946-08-16",4.7,"A","Not a Flood Stage"
"1946-08-17",4.2,"A","Not a Flood Stage"
"1946-08-18",4.5,"A","Not a Flood Stage"
"1946-08-19",4.5,"A","Not a Flood Stage"
"1946-08-20",4.8,"A","Not a Flood Stage"
"1946-08-21",4,"A","Not a Flood Stage"
"1946-08-22",7.4,"A","Not a Flood Stage"
"1946-08-23",5,"A","Not a Flood Stage"
"1946-08-24",3.1,"A","Not a Flood Stage"
"1946-08-25",2.4,"A","Not a Flood Stage"
"1946-08-26",2,"A","Not a Flood Stage"
"1946-08-27",2,"A","Not a Flood Stage"
"1946-08-28",2,"A","Not a Flood Stage"
"1946-08-29",2.4,"A","Not a Flood Stage"
"1946-08-30",2.1,"A","Not a Flood Stage"
"1946-08-31",2.1,"A","Not a Flood Stage"
"1946-09-01",2.1,"A","Not a Flood Stage"
"1946-09-02",1.9,"A","Not a Flood Stage"
"1946-09-03",1.7,"A","Not a Flood Stage"
"1946-09-04",1.5,"A","Not a Flood Stage"
"1946-09-05",1.4,"A","Not a Flood Stage"
"1946-09-06",1.7,"A","Not a Flood Stage"
"1946-09-07",1.6,"A","Not a Flood Stage"
"1946-09-08",1.7,"A","Not a Flood Stage"
"1946-09-09",3.1,"A","Not a Flood Stage"
"1946-09-10",3.5,"A","Not a Flood Stage"
"1946-09-11",3.3,"A","Not a Flood Stage"
"1946-09-12",2.1,"A","Not a Flood Stage"
"1946-09-13",1.6,"A","Not a Flood Stage"
"1946-09-14",1.5,"A","Not a Flood Stage"
"1946-09-15",1.2,"A","Not a Flood Stage"
"1946-09-16",1.3,"A","Not a Flood Stage"
"1946-09-17",1.2,"A","Not a Flood Stage"
"1946-09-18",1,"A","Not a Flood Stage"
"1946-09-19",1.1,"A","Not a Flood Stage"
"1946-09-20",1.6,"A","Not a Flood Stage"
"1946-09-21",2,"A","Not a Flood Stage"
"1946-09-22",2,"A","Not a Flood Stage"
"1946-09-23",2.7,"A","Not a Flood Stage"
"1946-09-24",6.9,"A","Not a Flood Stage"
"1946-09-25",5.1,"A","Not a Flood Stage"
"1946-09-26",4,"A","Not a Flood Stage"
"1946-09-27",3.1,"A","Not a Flood Stage"
"1946-09-28",2.2,"A","Not a Flood Stage"
"1946-09-29",2.4,"A","Not a Flood Stage"
"1946-09-30",3.3,"A","Not a Flood Stage"
"1946-10-01",3.5,"A","Not a Flood Stage"
"1946-10-02",2.1,"A","Not a Flood Stage"
"1946-10-03",2.1,"A","Not a Flood Stage"
"1946-10-04",2,"A","Not a Flood Stage"
"1946-10-05",2.1,"A","Not a Flood Stage"
"1946-10-06",2.2,"A","Not a Flood Stage"
"1946-10-07",2.6,"A","Not a Flood Stage"
"1946-10-08",2.6,"A","Not a Flood Stage"
"1946-10-09",3.6,"A","Not a Flood Stage"
"1946-10-10",4.2,"A","Not a Flood Stage"
"1946-10-11",3.3,"A","Not a Flood Stage"
"1946-10-12",11,"A","Not a Flood Stage"
"1946-10-13",9.7,"A","Not a Flood Stage"
"1946-10-14",5.6,"A","Not a Flood Stage"
"1946-10-15",5,"A","Not a Flood Stage"
"1946-10-16",4.2,"A","Not a Flood Stage"
"1946-10-17",4.5,"A","Not a Flood Stage"
"1946-10-18",9.9,"A","Not a Flood Stage"
"1946-10-19",8.8,"A","Not a Flood Stage"
"1946-10-20",8.3,"A","Not a Flood Stage"
"1946-10-21",7.4,"A","Not a Flood Stage"
"1946-10-22",6,"A","Not a Flood Stage"
"1946-10-23",5.3,"A","Not a Flood Stage"
"1946-10-24",4.8,"A","Not a Flood Stage"
"1946-10-25",16,"A","Not a Flood Stage"
"1946-10-26",48,"A","Not a Flood Stage"
"1946-10-27",37,"A","Not a Flood Stage"
"1946-10-28",22,"A","Not a Flood Stage"
"1946-10-29",13,"A","Not a Flood Stage"
"1946-10-30",12,"A","Not a Flood Stage"
"1946-10-31",10,"A","Not a Flood Stage"
"1946-11-01",10,"A","Not a Flood Stage"
"1946-11-02",9.2,"A","Not a Flood Stage"
"1946-11-03",7.4,"A","Not a Flood Stage"
"1946-11-04",7,"A","Not a Flood Stage"
"1946-11-05",5.6,"A","Not a Flood Stage"
"1946-11-06",6.3,"A","Not a Flood Stage"
"1946-11-07",7.9,"A","Not a Flood Stage"
"1946-11-08",9.2,"A","Not a Flood Stage"
"1946-11-09",9.2,"A","Not a Flood Stage"
"1946-11-10",9.2,"A","Not a Flood Stage"
"1946-11-11",9.7,"A","Not a Flood Stage"
"1946-11-12",9.7,"A","Not a Flood Stage"
"1946-11-13",9.7,"A","Not a Flood Stage"
"1946-11-14",11,"A","Not a Flood Stage"
"1946-11-15",9.7,"A","Not a Flood Stage"
"1946-11-16",9.7,"A","Not a Flood Stage"
"1946-11-17",15,"A","Not a Flood Stage"
"1946-11-18",17,"A","Not a Flood Stage"
"1946-11-19",17,"A","Not a Flood Stage"
"1946-11-20",15,"A","Not a Flood Stage"
"1946-11-21",14,"A","Not a Flood Stage"
"1946-11-22",14,"A","Not a Flood Stage"
"1946-11-23",12,"A","Not a Flood Stage"
"1946-11-24",9.7,"A","Not a Flood Stage"
"1946-11-25",11,"A","Not a Flood Stage"
"1946-11-26",20,"A","Not a Flood Stage"
"1946-11-27",45,"A","Not a Flood Stage"
"1946-11-28",35,"A","Not a Flood Stage"
"1946-11-29",26,"A","Not a Flood Stage"
"1946-11-30",20,"A","Not a Flood Stage"
"1946-12-01",16,"A","Not a Flood Stage"
"1946-12-02",14,"A","Not a Flood Stage"
"1946-12-03",11,"A","Not a Flood Stage"
"1946-12-04",9.7,"A","Not a Flood Stage"
"1946-12-05",9.2,"A","Not a Flood Stage"
"1946-12-06",9.7,"A","Not a Flood Stage"
"1946-12-07",9.7,"A","Not a Flood Stage"
"1946-12-08",8.8,"A","Not a Flood Stage"
"1946-12-09",8.8,"A","Not a Flood Stage"
"1946-12-10",12,"A","Not a Flood Stage"
"1946-12-11",22,"A","Not a Flood Stage"
"1946-12-12",55,"A","Not a Flood Stage"
"1946-12-13",112,"A","Not a Flood Stage"
"1946-12-14",124,"A","Not a Flood Stage"
"1946-12-15",87,"A","Not a Flood Stage"
"1946-12-16",60,"A","Not a Flood Stage"
"1946-12-17",45,"A","Not a Flood Stage"
"1946-12-18",35,"A","Not a Flood Stage"
"1946-12-19",25,"A","Not a Flood Stage"
"1946-12-20",28,"A","Not a Flood Stage"
"1946-12-21",62,"A","Not a Flood Stage"
"1946-12-22",112,"A","Not a Flood Stage"
"1946-12-23",93,"A","Not a Flood Stage"
"1946-12-24",100,"A","Not a Flood Stage"
"1946-12-25",98,"A","Not a Flood Stage"
"1946-12-26",78,"A","Not a Flood Stage"
"1946-12-27",60,"A","Not a Flood Stage"
"1946-12-28",53,"A","Not a Flood Stage"
"1946-12-29",70,"A","Not a Flood Stage"
"1946-12-30",144,"A","Not a Flood Stage"
"1946-12-31",136,"A","Not a Flood Stage"
"1947-01-01",107,"A","Not a Flood Stage"
"1947-01-02",173,"A","Not a Flood Stage"
"1947-01-03",258,"A","Not a Flood Stage"
"1947-01-04",190,"A","Not a Flood Stage"
"1947-01-05",130,"A","Not a Flood Stage"
"1947-01-06",98,"A","Not a Flood Stage"
"1947-01-07",80,"A","Not a Flood Stage"
"1947-01-08",70,"A","Not a Flood Stage"
"1947-01-09",57,"A","Not a Flood Stage"
"1947-01-10",48,"A","Not a Flood Stage"
"1947-01-11",43,"A","Not a Flood Stage"
"1947-01-12",52,"A","Not a Flood Stage"
"1947-01-13",55,"A","Not a Flood Stage"
"1947-01-14",60,"A","Not a Flood Stage"
"1947-01-15",150,"A","Not a Flood Stage"
"1947-01-16",300,"A","Not a Flood Stage"
"1947-01-17",258,"A","Not a Flood Stage"
"1947-01-18",187,"A","Not a Flood Stage"
"1947-01-19",136,"A","Not a Flood Stage"
"1947-01-20",205,"A","Not a Flood Stage"
"1947-01-21",398,"A","Not a Flood Stage"
"1947-01-22",281,"A","Not a Flood Stage"
"1947-01-23",183,"A","Not a Flood Stage"
"1947-01-24",133,"A","Not a Flood Stage"
"1947-01-25",124,"A","Not a Flood Stage"
"1947-01-26",159,"A","Not a Flood Stage"
"1947-01-27",228,"A","Not a Flood Stage"
"1947-01-28",176,"A","Not a Flood Stage"
"1947-01-29",127,"A","Not a Flood Stage"
"1947-01-30",137,"A","Not a Flood Stage"
"1947-01-31",213,"A","Not a Flood Stage"
"1947-02-01",170,"A","Not a Flood Stage"
"1947-02-02",130,"A","Not a Flood Stage"
"1947-02-03",100,"A","Not a Flood Stage"
"1947-02-04",95,"A","Not a Flood Stage"
"1947-02-05",72,"A","Not a Flood Stage"
"1947-02-06",68,"A","Not a Flood Stage"
"1947-02-07",60,"A","Not a Flood Stage"
"1947-02-08",50,"A","Not a Flood Stage"
"1947-02-09",45,"A","Not a Flood Stage"
"1947-02-10",40,"A","Not a Flood Stage"
"1947-02-11",39,"A","Not a Flood Stage"
"1947-02-12",33,"A","Not a Flood Stage"
"1947-02-13",32,"A","Not a Flood Stage"
"1947-02-14",37,"A","Not a Flood Stage"
"1947-02-15",66,"A","Not a Flood Stage"
"1947-02-16",76,"A","Not a Flood Stage"
"1947-02-17",72,"A","Not a Flood Stage"
"1947-02-18",62,"A","Not a Flood Stage"
"1947-02-19",60,"A","Not a Flood Stage"
"1947-02-20",62,"A","Not a Flood Stage"
"1947-02-21",53,"A","Not a Flood Stage"
"1947-02-22",57,"A","Not a Flood Stage"
"1947-02-23",48,"A","Not a Flood Stage"
"1947-02-24",43,"A","Not a Flood Stage"
"1947-02-25",40,"A","Not a Flood Stage"
"1947-02-26",36,"A","Not a Flood Stage"
"1947-02-27",33,"A","Not a Flood Stage"
"1947-02-28",34,"A","Not a Flood Stage"
"1947-03-01",33,"A","Not a Flood Stage"
"1947-03-02",36,"A","Not a Flood Stage"
"1947-03-03",37,"A","Not a Flood Stage"
"1947-03-04",35,"A","Not a Flood Stage"
"1947-03-05",37,"A","Not a Flood Stage"
"1947-03-06",53,"A","Not a Flood Stage"
"1947-03-07",66,"A","Not a Flood Stage"
"1947-03-08",70,"A","Not a Flood Stage"
"1947-03-09",87,"A","Not a Flood Stage"
"1947-03-10",82,"A","Not a Flood Stage"
"1947-03-11",70,"A","Not a Flood Stage"
"1947-03-12",98,"A","Not a Flood Stage"
"1947-03-13",170,"A","Not a Flood Stage"
"1947-03-14",533,"A","Not a Flood Stage"
"1947-03-15",533,"A","Not a Flood Stage"
"1947-03-16",309,"A","Not a Flood Stage"
"1947-03-17",187,"A","Not a Flood Stage"
"1947-03-18",127,"A","Not a Flood Stage"
"1947-03-19",89,"A","Not a Flood Stage"
"1947-03-20",98,"A","Not a Flood Stage"
"1947-03-21",80,"A","Not a Flood Stage"
"1947-03-22",80,"A","Not a Flood Stage"
"1947-03-23",70,"A","Not a Flood Stage"
"1947-03-24",93,"A","Not a Flood Stage"
"1947-03-25",281,"A","Not a Flood Stage"
"1947-03-26",285,"A","Not a Flood Stage"
"1947-03-27",183,"A","Not a Flood Stage"
"1947-03-28",133,"A","Not a Flood Stage"
"1947-03-29",122,"A","Not a Flood Stage"
"1947-03-30",114,"A","Not a Flood Stage"
"1947-03-31",100,"A","Not a Flood Stage"
"1947-04-01",100,"A","Not a Flood Stage"
"1947-04-02",107,"A","Not a Flood Stage"
"1947-04-03",110,"A","Not a Flood Stage"
"1947-04-04",93,"A","Not a Flood Stage"
"1947-04-05",89,"A","Not a Flood Stage"
"1947-04-06",76,"A","Not a Flood Stage"
"1947-04-07",64,"A","Not a Flood Stage"
"1947-04-08",58,"A","Not a Flood Stage"
"1947-04-09",58,"A","Not a Flood Stage"
"1947-04-10",53,"A","Not a Flood Stage"
"1947-04-11",48,"A","Not a Flood Stage"
"1947-04-12",45,"A","Not a Flood Stage"
"1947-04-13",42,"A","Not a Flood Stage"
"1947-04-14",36,"A","Not a Flood Stage"
"1947-04-15",36,"A","Not a Flood Stage"
"1947-04-16",43,"A","Not a Flood Stage"
"1947-04-17",46,"A","Not a Flood Stage"
"1947-04-18",36,"A","Not a Flood Stage"
"1947-04-19",32,"A","Not a Flood Stage"
"1947-04-20",29,"A","Not a Flood Stage"
"1947-04-21",29,"A","Not a Flood Stage"
"1947-04-22",28,"A","Not a Flood Stage"
"1947-04-23",24,"A","Not a Flood Stage"
"1947-04-24",21,"A","Not a Flood Stage"
"1947-04-25",47,"A","Not a Flood Stage"
"1947-04-26",64,"A","Not a Flood Stage"
"1947-04-27",55,"A","Not a Flood Stage"
"1947-04-28",57,"A","Not a Flood Stage"
"1947-04-29",50,"A","Not a Flood Stage"
"1947-04-30",62,"A","Not a Flood Stage"
"1947-05-01",117,"A","Not a Flood Stage"
"1947-05-02",124,"A","Not a Flood Stage"
"1947-05-03",127,"A","Not a Flood Stage"
"1947-05-04",194,"A","Not a Flood Stage"
"1947-05-05",163,"A","Not a Flood Stage"
"1947-05-06",122,"A","Not a Flood Stage"
"1947-05-07",120,"A","Not a Flood Stage"
"1947-05-08",124,"A","Not a Flood Stage"
"1947-05-09",102,"A","Not a Flood Stage"
"1947-05-10",80,"A","Not a Flood Stage"
"1947-05-11",60,"A","Not a Flood Stage"
"1947-05-12",50,"A","Not a Flood Stage"
"1947-05-13",55,"A","Not a Flood Stage"
"1947-05-14",130,"A","Not a Flood Stage"
"1947-05-15",130,"A","Not a Flood Stage"
"1947-05-16",107,"A","Not a Flood Stage"
"1947-05-17",93,"A","Not a Flood Stage"
"1947-05-18",136,"A","Not a Flood Stage"
"1947-05-19",150,"A","Not a Flood Stage"
"1947-05-20",139,"A","Not a Flood Stage"
"1947-05-21",114,"A","Not a Flood Stage"
"1947-05-22",159,"A","Not a Flood Stage"
"1947-05-23",140,"A","Not a Flood Stage"
"1947-05-24",100,"A","Not a Flood Stage"
"1947-05-25",120,"A","Not a Flood Stage"
"1947-05-26",160,"A","Not a Flood Stage"
"1947-05-27",180,"A","Not a Flood Stage"
"1947-05-28",180,"A","Not a Flood Stage"
"1947-05-29",166,"A","Not a Flood Stage"
"1947-05-30",180,"A","Not a Flood Stage"
"1947-05-31",100,"A","Not a Flood Stage"
"1947-06-01",70,"A","Not a Flood Stage"
"1947-06-02",40,"A","Not a Flood Stage"
"1947-06-03",55,"A","Not a Flood Stage"
"1947-06-04",48,"A","Not a Flood Stage"
"1947-06-05",35,"A","Not a Flood Stage"
"1947-06-06",35,"A","Not a Flood Stage"
"1947-06-07",288,"A","Not a Flood Stage"
"1947-06-08",689,"A","Not a Flood Stage"
"1947-06-09",740,"A","Not a Flood Stage"
"1947-06-10",375,"A","Not a Flood Stage"
"1947-06-11",173,"A","Not a Flood Stage"
"1947-06-12",102,"A","Not a Flood Stage"
"1947-06-13",66,"A","Not a Flood Stage"
"1947-06-14",58,"A","Not a Flood Stage"
"1947-06-15",52,"A","Not a Flood Stage"
"1947-06-16",40,"A","Not a Flood Stage"
"1947-06-17",30,"A","Not a Flood Stage"
"1947-06-18",27,"A","Not a Flood Stage"
"1947-06-19",25,"A","Not a Flood Stage"
"1947-06-20",21,"A","Not a Flood Stage"
"1947-06-21",17,"A","Not a Flood Stage"
"1947-06-22",12,"A","Not a Flood Stage"
"1947-06-23",11,"A","Not a Flood Stage"
"1947-06-24",9.2,"A","Not a Flood Stage"
"1947-06-25",9.2,"A","Not a Flood Stage"
"1947-06-26",8.3,"A","Not a Flood Stage"
"1947-06-27",7.9,"A","Not a Flood Stage"
"1947-06-28",7.4,"A","Not a Flood Stage"
"1947-06-29",7,"A","Not a Flood Stage"
"1947-06-30",6.3,"A","Not a Flood Stage"
"1947-07-01",6.7,"A","Not a Flood Stage"
"1947-07-02",9.2,"A","Not a Flood Stage"
"1947-07-03",9.2,"A","Not a Flood Stage"
"1947-07-04",7.4,"A","Not a Flood Stage"
"1947-07-05",5.3,"A","Not a Flood Stage"
"1947-07-06",7,"A","Not a Flood Stage"
"1947-07-07",24,"A","Not a Flood Stage"
"1947-07-08",35,"A","Not a Flood Stage"
"1947-07-09",40,"A","Not a Flood Stage"
"1947-07-10",43,"A","Not a Flood Stage"
"1947-07-11",35,"A","Not a Flood Stage"
"1947-07-12",27,"A","Not a Flood Stage"
"1947-07-13",22,"A","Not a Flood Stage"
"1947-07-14",19,"A","Not a Flood Stage"
"1947-07-15",16,"A","Not a Flood Stage"
"1947-07-16",35,"A","Not a Flood Stage"
"1947-07-17",62,"A","Not a Flood Stage"
"1947-07-18",46,"A","Not a Flood Stage"
"1947-07-19",76,"A","Not a Flood Stage"
"1947-07-20",68,"A","Not a Flood Stage"
"1947-07-21",52,"A","Not a Flood Stage"
"1947-07-22",39,"A","Not a Flood Stage"
"1947-07-23",29,"A","Not a Flood Stage"
"1947-07-24",22,"A","Not a Flood Stage"
"1947-07-25",17,"A","Not a Flood Stage"
"1947-07-26",14,"A","Not a Flood Stage"
"1947-07-27",22,"A","Not a Flood Stage"
"1947-07-28",22,"A","Not a Flood Stage"
"1947-07-29",24,"A","Not a Flood Stage"
"1947-07-30",18,"A","Not a Flood Stage"
"1947-07-31",18,"A","Not a Flood Stage"
"1947-08-01",21,"A","Not a Flood Stage"
"1947-08-02",21,"A","Not a Flood Stage"
"1947-08-03",15,"A","Not a Flood Stage"
"1947-08-04",74,"A","Not a Flood Stage"
"1947-08-05",74,"A","Not a Flood Stage"
"1947-08-06",43,"A","Not a Flood Stage"
"1947-08-07",27,"A","Not a Flood Stage"
"1947-08-08",20,"A","Not a Flood Stage"
"1947-08-09",16,"A","Not a Flood Stage"
"1947-08-10",14,"A","Not a Flood Stage"
"1947-08-11",12,"A","Not a Flood Stage"
"1947-08-12",11,"A","Not a Flood Stage"
"1947-08-13",10,"A","Not a Flood Stage"
"1947-08-14",16,"A","Not a Flood Stage"
"1947-08-15",8.8,"A","Not a Flood Stage"
"1947-08-16",8.9,"A","Not a Flood Stage"
"1947-08-17",20,"A","Not a Flood Stage"
"1947-08-18",21,"A","Not a Flood Stage"
"1947-08-19",20,"A","Not a Flood Stage"
"1947-08-20",14,"A","Not a Flood Stage"
"1947-08-21",12,"A","Not a Flood Stage"
"1947-08-22",17,"A","Not a Flood Stage"
"1947-08-23",13,"A","Not a Flood Stage"
"1947-08-24",11,"A","Not a Flood Stage"
"1947-08-25",14,"A","Not a Flood Stage"
"1947-08-26",20,"A","Not a Flood Stage"
"1947-08-27",17,"A","Not a Flood Stage"
"1947-08-28",16,"A","Not a Flood Stage"
"1947-08-29",11,"A","Not a Flood Stage"
"1947-08-30",8.8,"A","Not a Flood Stage"
"1947-08-31",13,"A","Not a Flood Stage"
"1947-09-01",8.8,"A","Not a Flood Stage"
"1947-09-02",9.2,"A","Not a Flood Stage"
"1947-09-03",6,"A","Not a Flood Stage"
"1947-09-04",6.7,"A","Not a Flood Stage"
"1947-09-05",7.9,"A","Not a Flood Stage"
"1947-09-06",11,"A","Not a Flood Stage"
"1947-09-07",25,"A","Not a Flood Stage"
"1947-09-08",16,"A","Not a Flood Stage"
"1947-09-09",11,"A","Not a Flood Stage"
"1947-09-10",9.2,"A","Not a Flood Stage"
"1947-09-11",6.3,"A","Not a Flood Stage"
"1947-09-12",6,"A","Not a Flood Stage"
"1947-09-13",14,"A","Not a Flood Stage"
"1947-09-14",8.8,"A","Not a Flood Stage"
"1947-09-15",8.9,"A","Not a Flood Stage"
"1947-09-16",68,"A","Not a Flood Stage"
"1947-09-17",60,"A","Not a Flood Stage"
"1947-09-18",35,"A","Not a Flood Stage"
"1947-09-19",23,"A","Not a Flood Stage"
"1947-09-20",18,"A","Not a Flood Stage"
"1947-09-21",13,"A","Not a Flood Stage"
"1947-09-22",12,"A","Not a Flood Stage"
"1947-09-23",26,"A","Not a Flood Stage"
"1947-09-24",21,"A","Not a Flood Stage"
